bucket_range,bucket_size,county_fips
%[30-32[,5353,"1043, 1049, 1059, 1071, 1077, 1083, 1089, 1111, 2013, 2050, 2188, 2261, 2282, 2290, 4009, 4012, 4021, 5009, 5015, 5023, 5045, 5049, 5055, 5065, 5075, 5087, 5089, 5097, 5115, 5119, 5125, 5127, 5137, 6047, 6099, 12029, 12041, 12059, 12065, 12075, 12093, 12105, 13005, 13007, 13013, 13015, 13021, 13023, 13025, 13031, 13043, 13045, 13049, 13051, 13055, 13061, 13075, 13081, 13087, 13091, 13097, 13099, 13105, 13109, 13115, 13133, 13151, 13153, 13155, 13165, 13169, 13171, 13173, 13183, 13185, 13189, 13191, 13195, 13197, 13201, 13207, 13213, 13215, 13233, 13235, 13249, 13253, 13257, 13261, 13265, 13267, 13269, 13271, 13279, 13285, 13293, 13295, 13297, 13301, 13305, 13307, 13309, 13313, 13315, 13317, 16011, 16027, 16031, 16051, 16053, 16063, 16069, 16075, 16079, 17001, 17007, 17023, 17075, 17119, 17121, 17125, 17133, 17163, 17177, 17183, 17201, 18001, 18003, 18007, 18017, 18019, 18021, 18025, 18029, 18031, 18033, 18035, 18039, 18041, 18051, 18055, 18059, 18063, 18067, 18079, 18083, 18085, 18087, 18097, 18107, 18109, 18113, 18119, 18121, 18123, 18127, 18131, 18133, 18137, 18139, 18153, 18155, 18159, 18163, 18165, 18169, 18171, 18175, 18183, 19001, 19005, 19009, 19011, 19015, 19019, 19021, 19023, 19025, 19031, 19033, 19037, 19041, 19043, 19045, 19051, 19053, 19055, 19057, 19059, 19063, 19069, 19071, 19083, 19085, 19087, 19091, 19095, 19097, 19099, 19109, 19111, 19113, 19117, 19121, 19123, 19125, 19129, 19133, 19135, 19141, 19143, 19147, 19149, 19151, 19157, 19159, 19161, 19177, 19181, 19183, 19185, 19187, 19193, 19195, 19197, 20003, 20013, 20015, 20023, 20025, 20031, 20033, 20041, 20043, 20047, 20049, 20051, 20053, 20057, 20061, 20071, 20073, 20083, 20085, 20087, 20095, 20097, 20101, 20103, 20105, 20107, 20109, 20115, 20117, 20121, 20123, 20129, 20137, 20141, 20145, 20149, 20153, 20157, 20159, 20163, 20165, 20171, 20173, 20177, 20179, 20183, 20185, 20187, 20191, 20197, 20199, 20205, 20207, 21007, 21011, 21015, 21021, 21037, 21057, 21059, 21061, 21075, 21079, 21083, 21093, 21097, 21111, 21123, 21145, 21151, 21155, 21161, 21171, 21179, 21187, 21189, 21199, 21209, 21215, 21227, 21229, 21237, 21239, 22005, 22015, 22023, 22033, 22071, 22113, 23001, 23003, 24001, 24015, 24037, 24043, 26001, 26007, 26009, 26015, 26023, 26035, 26037, 26039, 26041, 26047, 26053, 26059, 26063, 26073, 26077, 26079, 26083, 26085, 26087, 26091, 26095, 26097, 26099, 26101, 26105, 26111, 26113, 26131, 26137, 26141, 26147, 26151, 26153, 26155, 26157, 26159, 26165, 27005, 27013, 27049, 27061, 27079, 27087, 27091, 27095, 27097, 27119, 27125, 27127, 27143, 27149, 27161, 28115, 28121, 28141, 29009, 29013, 29015, 29017, 29031, 29035, 29037, 29039, 29055, 29057, 29061, 29067, 29069, 29071, 29077, 29079, 29081, 29087, 29089, 29091, 29095, 29099, 29101, 29103, 29105, 29113, 29115, 29121, 29129, 29133, 29137, 29139, 29145, 29149, 29151, 29153, 29157, 29169, 29171, 29173, 29179, 29181, 29186, 29187, 29197, 29199, 29205, 29207, 29209, 29213, 29215, 29217, 29229, 30041, 31001, 31007, 31015, 31021, 31023, 31025, 31037, 31041, 31047, 31051, 31053, 31059, 31069, 31073, 31077, 31081, 31097, 31111, 31115, 31117, 31119, 31121, 31129, 31137, 31143, 31145, 31163, 31165, 31169, 31171, 31175, 31177, 31181, 32007, 32023, 32033, 34033, 35006, 35015, 35025, 36049, 37003, 37027, 37029, 37045, 37049, 37057, 37061, 37069, 37071, 37095, 37099, 37123, 37127, 37133, 37137, 37141, 37145, 37151, 37159, 37177, 37197, 38003, 38005, 38021, 38025, 38037, 38045, 38047, 38049, 38051, 38053, 38055, 38057, 38059, 38065, 38067, 38069, 38071, 38073, 38077, 38081, 38083, 38093, 38097, 38099, 38103, 39001, 39013, 39017, 39023, 39025, 39027, 39033, 39037, 39039, 39045, 39047, 39049, 39053, 39057, 39063, 39067, 39071, 39089, 39093, 39109, 39113, 39119, 39121, 39123, 39139, 39143, 39149, 39151, 39155, 39169, 39173, 40013, 40019, 40025, 40035, 40039, 40045, 40049, 40055, 40071, 40073, 40075, 40083, 40087, 40107, 40119, 40121, 40127, 40139, 40151, 41011, 41019, 41043, 41047, 41059, 42009, 42011, 42015, 42021, 42035, 42039, 42049, 42053, 42055, 42057, 42059, 42073, 42083, 42085, 42087, 42093, 42097, 42099, 42101, 42103, 42105, 42109, 42113, 42117, 42123, 42125, 42127, 45003, 45007, 45035, 45043, 45055, 45057, 45063, 45079, 45083, 46005, 46013, 46015, 46025, 46035, 46039, 46047, 46053, 46063, 46067, 46069, 46077, 46079, 46091, 46101, 46105, 46115, 46117, 46119, 46123, 46125, 46127, 47001, 47003, 47005, 47021, 47025, 47027, 47037, 47041, 47051, 47059, 47061, 47063, 47067, 47071, 47081, 47103, 47117, 47127, 47129, 47133, 47141, 47143, 47149, 47163, 47173, 47175, 47179, 47181, 47183, 47185, 47189, 48021, 48037, 48063, 48067, 48135, 48199, 48203, 48215, 48227, 48239, 48245, 48293, 48309, 48315, 48321, 48325, 48347, 48355, 48375, 48405, 48409, 48419, 48449, 48469, 48471, 48473, 48481, 48497, 49003, 49045, 51015, 51027, 51031, 51037, 51047, 51049, 51053, 51069, 51073, 51083, 51089, 51097, 51105, 51109, 51117, 51143, 51147, 51149, 51177, 51193, 51195, 51550, 51590, 51595, 51670, 51690, 51700, 51710, 51770, 51800, 53003, 53005, 53021, 53043, 53049, 53059, 53069, 53077, 54011, 54025, 54039, 54049, 54063, 54065, 54069, 54075, 55005, 55011, 55019, 55021, 55023, 55027, 55031, 55033, 55037, 55041, 55047, 55049, 55053, 55059, 55067, 55069, 55071, 55075, 55079, 55081, 55085, 55091, 55097, 55099, 55101, 55103, 55107, 55111, 55115, 55119, 55123, 55137, 56005, 56037"
%[32-34[,3708,"1001, 1009, 1015, 1019, 1031, 1039, 1051, 1055, 1057, 1061, 1069, 1073, 1075, 1093, 1097, 1103, 1115, 1125, 1127, 2130, 2164, 2180, 2240, 2270, 4001, 4011, 5013, 5019, 5021, 5025, 5033, 5043, 5059, 5063, 5071, 5081, 5083, 5099, 5101, 5105, 5109, 5117, 5121, 5129, 5131, 5135, 5141, 5145, 6107, 10001, 12003, 12023, 12027, 12043, 12047, 12051, 12063, 12067, 12079, 12107, 12121, 12129, 12133, 13001, 13003, 13017, 13019, 13027, 13033, 13037, 13069, 13071, 13095, 13103, 13131, 13141, 13167, 13179, 13199, 13205, 13209, 13217, 13225, 13239, 13243, 13245, 13247, 13251, 13255, 13259, 13263, 13273, 13275, 13283, 13287, 13289, 13299, 13303, 13319, 13321, 16067, 18009, 18027, 18049, 18053, 18061, 18065, 18069, 18071, 18075, 18077, 18089, 18091, 18093, 18095, 18101, 18103, 18111, 18117, 18125, 18135, 18145, 18149, 18151, 18167, 18181, 19007, 19029, 19035, 19047, 19065, 19077, 19081, 19105, 19115, 19127, 19137, 19139, 19145, 19155, 19175, 19179, 20001, 20005, 20007, 20009, 20011, 20019, 20021, 20027, 20035, 20037, 20039, 20055, 20059, 20067, 20069, 20075, 20077, 20081, 20099, 20111, 20125, 20127, 20133, 20143, 20151, 20155, 20169, 20189, 20193, 21001, 21003, 21005, 21023, 21027, 21029, 21031, 21039, 21041, 21047, 21053, 21055, 21063, 21065, 21069, 21073, 21077, 21085, 21087, 21091, 21095, 21101, 21103, 21105, 21129, 21137, 21141, 21143, 21147, 21153, 21157, 21165, 21167, 21169, 21173, 21181, 21191, 21201, 21203, 21207, 21211, 21213, 21217, 21219, 21221, 21223, 21225, 22001, 22007, 22011, 22017, 22019, 22021, 22025, 22043, 22049, 22051, 22059, 22063, 22073, 22075, 22079, 22087, 22099, 22123, 23021, 24011, 24017, 24033, 24045, 24510, 26011, 26013, 26017, 26021, 26025, 26027, 26031, 26033, 26045, 26051, 26057, 26069, 26075, 26107, 26109, 26115, 26117, 26121, 26123, 26127, 26129, 26133, 26135, 26143, 26149, 26163, 27115, 28019, 28045, 28047, 28057, 28059, 28071, 28073, 28075, 28081, 28091, 28105, 28109, 28117, 28139, 28145, 28155, 29007, 29011, 29021, 29023, 29025, 29027, 29033, 29045, 29049, 29053, 29059, 29063, 29065, 29073, 29093, 29097, 29111, 29123, 29125, 29127, 29143, 29155, 29159, 29175, 29177, 29195, 29201, 29211, 29221, 29223, 29225, 29510, 30035, 30085, 31013, 31035, 31057, 31061, 31063, 31065, 31067, 31079, 31085, 31087, 31095, 31127, 31131, 31139, 31151, 31157, 31167, 31185, 32027, 34011, 37001, 37007, 37013, 37033, 37041, 37047, 37051, 37073, 37085, 37093, 37103, 37111, 37139, 37143, 37147, 37157, 37169, 37173, 37187, 37191, 38061, 38105, 39003, 39007, 39011, 39015, 39019, 39021, 39029, 39031, 39043, 39051, 39059, 39065, 39077, 39091, 39095, 39101, 39105, 39115, 39117, 39127, 39129, 39131, 39137, 39141, 39147, 39157, 39159, 39163, 39167, 39171, 39175, 40003, 40005, 40009, 40017, 40023, 40029, 40031, 40041, 40043, 40051, 40053, 40057, 40059, 40063, 40065, 40067, 40077, 40085, 40089, 40095, 40097, 40103, 40105, 40113, 40117, 40129, 40131, 40135, 40137, 40141, 40145, 40147, 41009, 41053, 42005, 42013, 42025, 42031, 42033, 42043, 42063, 42067, 42107, 42121, 42131, 42133, 45001, 45021, 45025, 45037, 45041, 45047, 45065, 45081, 46023, 46071, 46085, 46095, 46109, 47007, 47009, 47011, 47013, 47015, 47017, 47019, 47023, 47033, 47039, 47043, 47047, 47049, 47053, 47055, 47057, 47073, 47077, 47079, 47083, 47085, 47087, 47089, 47099, 47101, 47107, 47111, 47113, 47115, 47119, 47123, 47131, 47135, 47137, 47139, 47145, 47147, 47157, 47159, 47161, 47169, 47171, 47177, 48005, 48183, 51001, 51029, 51051, 51057, 51081, 51131, 51135, 51181, 51620, 53015, 53023, 53025, 54003, 54007, 54013, 54017, 54019, 54027, 54029, 54033, 54035, 54037, 54041, 54051, 54071, 54077, 54079, 54081, 54083, 54085, 54095, 54097, 54101, 54103, 54107, 55001, 55057, 55061, 55065, 55077, 55105"
%[34-36[,1344,"1021, 1027, 1035, 1045, 1067, 1079, 1099, 1101, 1107, 1123, 2016, 5001, 5011, 5027, 5029, 5031, 5037, 5039, 5047, 5053, 5061, 5067, 5073, 5077, 5079, 5085, 5095, 5103, 5113, 5133, 5139, 5147, 5149, 12007, 12013, 12039, 12049, 12123, 12125, 13009, 13063, 13093, 13107, 13163, 13175, 13193, 13277, 20139, 21013, 21017, 21033, 21043, 21045, 21051, 21081, 21089, 21099, 21107, 21109, 21115, 21119, 21149, 21163, 21175, 21177, 21183, 21197, 21205, 21231, 21233, 21235, 22003, 22009, 22027, 22029, 22045, 22053, 22057, 22061, 22069, 22077, 22089, 22093, 22107, 22111, 22115, 22117, 22119, 22125, 22127, 23025, 24019, 26049, 26067, 28003, 28009, 28013, 28015, 28017, 28023, 28025, 28033, 28035, 28039, 28049, 28077, 28087, 28099, 28101, 28107, 28111, 28123, 28127, 28129, 28131, 28149, 30005, 31043, 31147, 35031, 37015, 37017, 37077, 37079, 37091, 37101, 37107, 37117, 37153, 37163, 37165, 37181, 37195, 38085, 39073, 39079, 39081, 39111, 39145, 39161, 40007, 40011, 40015, 40021, 40033, 40037, 40047, 40069, 40079, 40081, 40091, 40101, 40111, 40115, 40123, 40125, 40133, 40149, 40153, 42037, 42051, 42111, 45011, 45015, 45017, 45023, 45031, 45071, 45085, 45087, 46007, 47029, 47031, 47167, 51025, 51036, 51183, 51650, 51740, 53001, 53027, 53041, 54005, 54009, 54015, 54023, 54031, 54053, 54055, 54057, 54073, 54087, 54089, 54091, 54093, 54099, 54105"
%[36-38[,692,"1007, 1013, 1017, 1025, 1033, 1037, 1041, 1053, 1109, 1113, 1121, 1129, 2060, 2185, 5035, 5041, 5057, 5091, 5093, 5111, 12077, 20175, 20209, 21019, 21071, 21121, 21125, 21127, 21133, 21135, 21159, 21193, 21195, 22013, 22031, 22039, 22041, 22047, 22067, 22081, 22083, 22085, 22091, 22095, 22097, 22101, 22105, 22121, 26145, 28001, 28029, 28031, 28037, 28041, 28043, 28055, 28061, 28065, 28067, 28069, 28079, 28085, 28095, 28097, 28113, 28137, 28151, 28153, 28159, 28161, 28163, 30003, 30087, 31173, 37083, 37131, 37185, 39087, 40001, 40061, 40099, 45005, 45029, 45033, 45053, 45059, 45067, 46121, 47045, 47075, 47095, 47097, 47109, 51730, 54001, 54021, 54045, 54047, 54059, 54067, 54109, 55078"
%[38-40[,243,"1023, 1091, 2070, 5003, 5017, 5069, 5123, 21025, 21131, 22035, 22037, 22065, 22109, 24039, 28005, 28007, 28011, 28093, 28103, 28125, 28135, 28147, 28157, 37065, 37155, 38079, 45009, 45027, 45039, 45049, 45069, 46031, 46041, 46137, 47069, 54043"
%[40-42[,110,"1005, 1011, 1047, 1065, 1105, 1119, 5107, 28053, 28083, 28119, 28133, 28143, 45061, 45075, 45089, 46017, 46113"
%[42-44[,30,"1085, 1087, 1131, 28027, 28063"
%[44-46[,18,"1063, 28021, 28051"
%[46-48[,0,
%[48-50[,0,
