fips,county,state,PCT_low_access_fullPop_2010,PCT_low_access_fullPop_2015,PCT_low_access_lowInc_2010,PCT_low_access_lowInc_2015,PCT_low_access_noCar_2010,PCT_low_access_noCar_2015,PCT_low_access_snap_2015,*PCT_low_access_fullPop_2013,*PCT_low_access_lowInc_2013,*PCT_low_access_noCar_2013
1001,Autauga,AL,33.76965730033296,32.062254747184035,9.793530396131903,11.991125000212604,3.2847855556540977,3.3513316313738293,4.608749252541551,32.40373525781382,11.551606079396464,3.338022416229883
1003,Baldwin,AL,19.318472596371,16.767489331327024,5.460260624349354,5.4244265969613314,2.1478271595262095,1.9051144660996444,1.2989003685463132,17.277685984335818,5.431593402438936,1.9536570047849575
1005,Barbour,AL,20.840971709557856,22.105560066973666,11.420315716122772,10.739666573274102,4.135869370614328,4.329378079092943,4.303147049779694,21.852642395490506,10.875796401843836,4.29067633739722
1007,Bibb,AL,4.559752683225005,4.2303244206186426,2.1446609916586645,2.6016270076683963,3.4585800954854773,2.8214274439833398,0.6767103234591161,4.296210073139915,2.51023380446645,2.9488579742837673
1009,Blount,AL,2.700840094961568,6.497380137361867,1.0624676535930184,2.8801498232112803,3.269379843993799,3.3364141441489017,0.8127274929922376,5.738072128881807,2.5166133892876283,3.3230072841178813
1011,Bullock,AL,37.47465226144493,37.950342361794206,20.151730144173996,19.74335074065961,7.285560968747689,11.104440609899546,6.016622830144433,37.85520434172435,19.82502662136249,10.340664681669175
1013,Butler,AL,6.243470213062348,6.226804584468373,2.832029114537614,2.926121930559144,4.652357458095042,3.770678377587316,1.0768789929632352,6.230137710187168,2.9073033673548383,3.947014193688861
1015,Calhoun,AL,26.061085741273487,23.433851807648516,10.043823885848852,9.178566582982912,2.645518129638947,2.6098954796953793,4.080320207731614,23.95929859437351,9.3516180435561,2.6170200096840928
1017,Chambers,AL,19.722967185782053,20.843214136062457,8.821524906047202,10.328558281147888,4.426159573983363,5.240802890493261,3.607493205587612,20.619164746006376,10.02715160612775,5.077874227191281
1019,Cherokee,AL,0.30555325161640307,0.39833198231404826,0.13268637634390432,0.2211124003094359,3.5642523931318935,2.822199537318709,0.04600567762648419,0.3797762361745192,0.2034271955163296,2.970610108481346
1021,Chilton,AL,3.3377125565412094,3.3680065770122813,1.6886043045958528,1.4605309613523727,3.0185112841951565,3.8719094601946606,0.69727747526534,3.361947772918067,1.5061456300010687,3.7012298249947597
1023,Choctaw,AL,18.848790450188034,19.50281549095887,11.62806842206732,7.290419052432211,6.489997864857483,7.211671047223731,6.138276316547528,19.372010482804704,8.157948926359232,7.067336410750481
1025,Clarke,AL,19.589908192132274,22.11483889428084,11.232512663350366,11.154712302637634,7.27489939226082,9.129547508159378,4.148988028320993,21.609852753851126,11.17027237478018,8.758617884979667
1027,Clay,AL,5.331407536107178,4.613414584500919,1.9289483357251793,2.3268798802372164,3.286965297489983,3.401923080286155,0.7238262466098201,4.757013174822171,2.247293571334809,3.3789315237269206
1029,Cleburne,AL,0.980921024931906,5.273411320245745,0.5369355548067827,2.071715769553613,3.544518261492582,3.552265349129044,0.6712892316282975,4.414913261182978,1.764759726604247,3.5507159316017516
1031,Coffee,AL,22.81436774732562,20.994005725991233,7.425411657620846,5.9812031395362775,4.45418854799407,2.7371308876188927,1.9978051178228171,21.35807813025811,6.270044843153191,3.080542419693928
1033,Colbert,AL,17.490172618280003,20.385952642876276,5.0898157401476265,6.551704535138825,2.3382581718241644,2.9959598358393227,3.6827821822294777,19.80679663795702,6.259326776140585,2.864419503036291
1035,Conecuh,AL,28.16587216880609,26.900207440887964,14.78309504159389,13.2297762622088,6.621534202897457,5.789568182885138,7.609672179518561,27.15334038647159,13.540440018085818,5.955961386887601
1037,Coosa,AL,24.588289612072103,24.516252133091168,6.52448032255445,10.12480748542976,3.5283618495966,5.844221712676971,3.0728887420509805,24.530659628887356,9.404742052854697,5.381049740060897
1039,Covington,AL,8.82865337712673,9.980464049266544,3.046753432944843,4.370326751105626,4.269161411797528,3.3001270001401,1.4271134851647223,9.75010191483858,4.105612087473469,3.4939338824715858
1041,Crenshaw,AL,38.71628362061117,37.96178977914188,15.83537355461434,17.039060380152165,6.594574760807413,4.438704254915358,7.827321755726486,38.11268854743574,16.798323015044602,4.869878356093769
1043,Cullman,AL,7.829499986046826,7.3380969101382725,3.1533742988073405,3.1096062497312267,3.0922674982695897,3.2982458046664886,1.1118573448773978,7.436377525319983,3.1183598595464495,3.257050143387109
1045,Dale,AL,27.555590623508984,27.933712995483674,10.283822566961792,10.559380332897096,2.6859786455392425,3.0655048470906654,3.418145695350062,27.858088521088735,10.504268779710035,2.9895996067803807
1047,Dallas,AL,17.76722320284934,17.4350909803699,11.563454429954884,11.556270931993701,6.252084196153011,5.794713907896636,6.595094049249297,17.50151742486579,11.557707631585938,5.886187965547911
1049,DeKalb,AL,3.76865468839694,3.76865468839694,2.254340844058488,2.166964608756782,4.135196615862864,2.7566603192181693,0.6905524150280568,3.76865468839694,2.184439855817123,3.0323675785471083
1051,Elmore,AL,18.929302697890495,18.995960540896057,6.559576214219385,6.943021713768281,3.10542941565686,3.4673392169905797,2.052276698701007,18.982628972294943,6.866332613858502,3.3949572567238357
1053,Escambia,AL,13.540818369734389,13.201741703268405,7.576713325235993,7.219940028337117,3.9412023192649923,4.0093011367225335,3.935450427714318,13.269557036561602,7.291294687716892,3.9956813732310255
1055,Etowah,AL,23.728040548779756,22.301854659492676,8.61938578817429,9.40061662634827,2.769081178500333,3.236266680360548,3.612079170747241,22.58709183735009,9.244370458713474,3.142829579988505
