county_fips,fast_food_count_2009,fast_food_count_2014,PCT_change_fast_food_count,CPT_fast_food_2009,CPT_fast_food_2014,PCT_change_fast_food
51003,53,58,9.433962264,0.540424794,0.555082353,2.712229165
51005,10,7,-30.0,0.613271189,0.442477876,-27.849557521999998
51007,6,4,-33.333333333,0.476417342,0.311162972,-34.68689226
51009,17,16,-5.882352941000001,0.523931334,0.499360195,-4.6897633
51011,4,7,75.0,0.27005131,0.458145167,69.65115518
51013,223,237,6.278026906,1.100490039,1.044476175,-5.089901907
51015,23,27,17.391304348,0.311467418,0.36554656,17.362696356
51017,1,1,0.0,0.210837023,0.219154065,3.9447731760000004
51019,18,20,11.111111111,0.263161742,0.261154564,-0.762716414
51021,1,2,100.0,0.145602796,0.301886792,107.335849057
51023,17,19,11.764705882000001,0.514496701,0.574018127,11.568864404000001
51025,5,3,-40.0,0.285600046,0.181840223,-36.330464299
51027,10,9,-10.0,0.412643394,0.389509218,-5.606336017
51029,1,2,100.0,0.0583158,0.118252232,102.778927452
51031,24,42,75.0,0.440593332,0.765236403,73.683155689
51033,10,8,-20.0,0.353819481,0.268654712,-24.07011888
51035,9,12,33.333333333,0.299980001,0.405117991,35.048332826999996
51036,0,0,0.0,0.0,0.0,0.0
51037,3,3,0.0,0.238322212,0.24539877300000001,2.969325153
51041,200,236,18.0,0.638781716,0.7097765709999999,11.114102599
51043,9,6,-33.333333333,0.642169105,0.416002219,-35.219210058
51045,1,0,-100.0,0.1953125,0.0,-100.0
51047,27,28,3.7037037039999996,0.58396055,0.569499247,-2.4764177590000003
51049,0,0,0.0,0.0,0.0,0.0
51051,7,4,-42.857142857,0.43956044,0.26130128,-40.553958714000004
51053,5,6,20.0,0.179288583,0.21537025699999998,20.124914749000002
51057,11,10,-9.090909091,0.990634006,0.90065748,-9.082721296
51059,860,911,5.930232557999999,0.807404083,0.8008523670000001,-0.811454415
51061,39,55,41.025641026,0.600859692,0.805884422,34.121897815
51063,7,4,-42.857142857,0.462046205,0.256772371,-44.427122499
51065,3,5,66.666666667,0.117297466,0.191629618,63.370637232
51067,28,26,-7.142857143,0.502404364,0.461336456,-8.174273649
51069,38,47,23.684210525999998,0.49046813899999997,0.5705476039999999,16.327149313
51071,14,12,-14.285714286,0.8109360520000001,0.713648528,-11.996941505999999
51073,22,20,-9.090909091,0.5981836970000001,0.538488463,-9.979415055
51075,8,7,-12.5,0.370301796,0.31911013899999996,-13.824307075
51077,2,3,50.0,0.127420999,0.19876764100000002,55.992844365
51079,4,7,75.0,0.21933432,0.367820924,67.698754663
51081,2,4,100.0,0.16297262099999998,0.342436435,110.118996661
51083,24,25,4.166666667,0.661284545,0.710227273,7.4011600379999996
51085,70,75,7.142857143,0.702451556,0.7358857120000001,4.759638701
51087,250,269,7.6,0.820309552,0.835600949,1.864100844
51089,34,31,-8.823529412000001,0.624977023,0.595226666,-4.760232082
51091,0,0,0.0,0.0,0.0,0.0
51093,23,20,-13.043478260999999,0.6521122770000001,0.5554475520000001,-14.823325416
51095,35,31,-11.428571429000002,0.529356605,0.427097254,-19.317667852
51097,0,0,0.0,0.0,0.0,0.0
51099,14,12,-14.285714286,0.599957146,0.472980963,-21.164208855
51101,6,7,16.666666667,0.380517504,0.432472507,13.653774867000001
51103,9,10,11.111111111,0.789265983,0.9054690329999999,14.722926476
51105,6,7,16.666666667,0.23457658899999997,0.28054987800000003,19.598412889000002
51107,219,261,19.178082192,0.721198969,0.718909241,-0.317489006
51109,11,9,-18.181818182,0.334957369,0.26202399,-21.773928878000003
51111,4,2,-50.0,0.310390316,0.16043638699999999,-48.311407027
51113,6,5,-16.666666667,0.44916903700000005,0.380025842,-15.393580097000001
51115,5,5,0.0,0.555740802,0.565866908,1.822091444
51117,24,25,4.166666667,0.731372848,0.801487561,9.586726297
51119,6,7,16.666666667,0.551724138,0.654450262,18.619109948
51121,65,63,-3.076923077,0.693170669,0.647854881,-6.537464839
51125,7,6,-14.285714286,0.463883366,0.40404040399999996,-12.9004329
51127,11,10,-9.090909091,0.609182035,0.499475551,-18.008818014000003
51131,12,13,8.333333332999999,0.963081862,1.072518769,11.363198855999999
51133,4,3,-25.0,0.32312787800000004,0.24487796899999997,-24.216390499
51135,9,13,44.444444444,0.5662514160000001,0.83445664,47.365042686
51137,17,26,52.941176471000006,0.5100663089999999,0.742305716,45.53121882600001
51139,15,17,13.333333332999999,0.623027081,0.712848038,14.41686235
51141,9,6,-33.333333333,0.484861545,0.328515112,-32.245583296999996
51143,15,15,0.0,0.23664531600000002,0.24045012300000002,1.60780982
51145,10,6,-40.0,0.357359826,0.210903722,-40.982811346999995
51147,15,15,0.0,0.644883921,0.650082344,0.806102106
51149,6,17,183.33333333299998,0.167466786,0.455361209,171.911356351
51153,259,283,9.266409266,0.665808057,0.634395441,-4.717968699
51155,30,33,10.0,0.857436835,0.961482431,12.134490997
51157,2,2,0.0,0.27273967,0.271702214,-0.3803831
51159,5,2,-60.0,0.54048211,0.224668614,-58.431813076000005
51161,46,53,15.217391304000001,0.49883424600000004,0.565122354,13.288604139
51163,11,9,-18.181818182,0.493960214,0.403099386,-18.394361495
51165,30,27,-10.0,0.395517469,0.34539663,-12.672218597999999
51167,18,15,-16.666666667,0.6204329239999999,0.535274596,-13.725630137000001
51169,12,10,-16.666666667,0.516973979,0.446747677,-13.584107695999998
51171,22,23,4.545454545,0.527034473,0.534622626,1.439783108
51173,23,19,-17.391304348,0.712449277,0.602123277,-15.48545328
51175,3,4,33.333333333,0.161229645,0.221496207,37.379330712
51177,89,88,-1.123595506,0.735306267,0.681177818,-7.361347437999999
51179,72,76,5.555555556,0.569399521,0.542888165,-4.656020027
51181,1,1,0.0,0.142106011,0.147275405,3.637702504
51183,5,6,20.0,0.41067761799999997,0.509900569,24.160788646
51185,33,32,-3.03030303,0.73221061,0.736444813,0.578276552
51187,21,23,9.523809523999999,0.563909774,0.589940236,4.616068604
51191,35,33,-5.714285714,0.6395965060000001,0.602971003,-5.726345134
51193,5,4,-20.0,0.28656579600000004,0.22887223199999998,-20.132745895
51195,30,26,-13.333333332999999,0.723693733,0.651057969,-10.036809816
51197,28,22,-21.428571429,0.95837897,0.755468562,-21.172251738
51199,54,50,-7.407407407000001,0.8282589690000001,0.753670375,-9.005467739
51510,119,126,5.882352941000001,0.8653098029999999,0.8367922959999999,-3.295641218
51515,15,12,-20.0,0.0,0.0,0.0
51520,31,31,0.0,1.737473377,1.804003724,3.829143389
51530,5,4,-20.0,0.748839299,0.605785249,-19.103437831
51540,63,66,4.7619047619999995,1.463278673,1.447590639,-1.072115289
51550,194,180,-7.216494845,0.8811132909999999,0.7713040609999999,-12.462555197999999
51570,37,35,-5.405405405,2.111269615,1.97394394,-6.504412031
51580,11,10,-9.090909091,1.84936113,1.723543606,-6.803296669
51590,55,55,0.0,1.26448409,1.295825087,2.478559985
51595,10,10,0.0,1.7050298380000002,1.830831197,7.378249725
51600,67,86,28.358208955,2.9886698189999996,3.512641425,17.53193352
51610,37,33,-10.810810811,3.139051497,2.4262921840000002,-22.706200061
51620,13,11,-15.384615385,1.5313935680000001,1.290171241,-15.751817969000001
51630,39,41,5.128205128,1.640378549,1.4462081130000002,-11.836928504000001
51640,12,16,33.333333333,1.722652885,2.281151982,32.420872541
51650,100,111,11.0,0.72551566,0.8109352059999999,11.773632185999999
51660,49,53,8.163265306,1.014618793,1.009947025,-0.460445621
51670,23,19,-17.391304348,1.0242707640000002,0.856010092,-16.427362549
51678,11,10,-9.090909091,1.570082786,1.3678019419999998,-12.88345084
51680,76,81,6.578947368,1.0114856859999999,1.02470682,1.307100439
51683,47,50,6.382978723,1.2815618690000001,1.188184691,-7.286201332999999
51685,5,6,20.0,0.36729596700000006,0.39541320700000004,7.655199683999999
51690,22,23,4.545454545,1.570082786,1.677485231,6.8405593389999995
51700,136,153,12.5,0.751381215,0.836225508,11.291777115999999
51710,214,238,11.214953270999999,0.885303547,0.969734505,9.53695006
51720,12,12,0.0,3.0745580319999997,2.9769288019999998,-3.175390722
51730,27,34,25.925925925999998,0.8393434470000001,1.039723556,23.87343461
51735,9,10,11.111111111,0.740557887,0.83001328,12.079459938
51740,73,79,8.219178082,0.765327518,0.82288238,7.520291677
51750,11,10,-9.090909091,0.672330542,0.5667006689999999,-15.711003265999999
51760,177,177,0.0,0.869018745,0.812474467,-6.506681111
51770,94,88,-6.382978723,0.9688424390000001,0.885062558,-8.647420692999999
51775,34,30,-11.764705882000001,1.377410468,1.177255425,-14.531256132000001
51790,22,24,9.090909091,0.925770072,0.9780748229999999,5.649864032999999
51800,54,59,9.259259259,0.645562357,0.67967652,5.284410277
51810,402,421,4.726368159,0.924129433,0.9335225509999999,1.016428788
51820,20,27,35.0,0.9530617109999999,1.263689975,32.592670598000005
51830,15,33,120.0,1.095930445,2.2462732290000003,104.96494452399999
51840,49,46,-6.12244898,1.882009525,1.670115819,-11.258907223
53001,10,13,30.0,0.5433306170000001,0.6778247040000001,24.75363679
53003,9,10,11.111111111,0.42026616899999997,0.450673757,7.235316799
53005,114,113,-0.8771929820000001,0.666191372,0.60594361,-9.043611947
53007,57,53,-7.01754386,0.7952119870000001,0.710570065,-10.643944419
53009,45,39,-13.333333332999999,0.633116198,0.536340507,-15.28561278
53011,243,243,0.0,0.576873771,0.5387931029999999,-6.601213282000001
53013,1,2,100.0,0.251445813,0.501882058,99.598494354
53015,59,61,3.389830508,0.577717721,0.597260435,3.382744368
53017,15,15,0.0,0.39541320700000004,0.37684654799999995,-4.695507988999999
53019,1,2,100.0,0.13266118300000002,0.26085822399999997,96.634928916
53021,43,43,0.0,0.577351701,0.489699234,-15.181815076
53023,0,0,0.0,0.0,0.0,0.0
53025,50,57,14.0,0.572475384,0.611935972,6.8929756189999996
53027,42,41,-2.3809523809999997,0.5795661529999999,0.578948855,-0.10651045099999999
53029,37,30,-18.918918919,0.472855536,0.37842951799999996,-19.969316526
53031,21,18,-14.285714286,0.706737565,0.595474395,-15.743208756
53033,1678,1720,2.502979738,0.877609555,0.826936197,-5.774020792000001
53035,157,159,1.27388535,0.631028939,0.625533572,-0.870858102
53037,46,48,4.347826087,1.136756783,1.128827431,-0.697541733
53039,5,9,80.0,0.247966673,0.431427065,73.985906716
