county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
8087,12.1,16.9
8089,20.6,30.6
8091,9.4,15.2
8093,9.2,14.7
8095,11.1,16.7
8097,7.0,7.6
8099,19.6,27.9
8101,19.8,27.1
8103,9.7,11.2
8105,17.2,28.7
8107,8.9,10.9
8109,29.6,49.3
8111,15.6,33.7
8113,11.0,13.3
8115,13.6,23.8
8117,8.7,10.3
8119,8.8,15.3
8121,11.4,15.6
8123,11.3,13.5
8125,14.1,18.6
9001,9.0,11.2
9003,11.1,15.7
9005,7.4,9.4
9007,6.7,7.4
9009,13.6,20.0
9011,11.1,17.4
9013,7.1,7.2
9015,10.9,16.8
10001,14.2,21.3
10003,12.1,17.6
10005,12.3,21.4
11001,17.7,28.3
12001,21.1,21.6
12003,16.8,24.2
12005,16.5,25.8
12007,21.3,31.0
12009,13.4,21.3
12011,14.0,20.3
12013,22.2,32.8
12015,12.4,23.3
12017,17.5,31.4
12019,11.6,15.7
12021,13.6,22.9
12023,19.7,30.4
12027,30.5,41.3
12029,29.3,38.2
12031,16.0,25.4
12033,15.4,27.4
12035,11.7,20.9
12037,23.7,38.5
12039,24.5,38.4
12041,19.2,29.5
12043,22.1,33.1
12045,21.9,29.2
12047,31.8,44.6
12049,25.9,36.5
12051,25.8,36.4
12053,14.3,24.5
12055,22.9,38.1
12057,15.8,21.4
12059,25.9,34.9
12061,13.0,22.5
12063,22.5,31.8
12065,19.4,30.9
12067,23.8,29.5
12069,12.8,20.9
12071,15.9,25.2
12073,21.8,22.3
12075,22.1,35.3
12077,22.6,29.9
12079,27.0,36.9
12081,14.8,24.2
12083,18.7,31.9
12085,11.2,18.1
12086,20.0,27.3
12087,11.3,18.8
12089,10.8,16.0
12091,11.3,18.7
12093,23.2,34.6
12095,15.6,22.6
12097,18.5,27.5
12099,13.5,20.8
12101,14.6,19.5
12103,13.6,20.6
12105,17.3,26.7
12107,27.3,41.1
12109,9.8,10.1
12111,16.4,25.3
12113,12.3,16.9
12115,9.7,17.6
12117,11.5,16.1
12119,10.1,30.6
12121,23.6,35.2
12123,21.2,30.0
12125,26.2,26.4
12127,16.3,25.1
12129,16.5,21.3
12131,14.8,26.1
12133,24.8,34.2
13001,22.5,34.2
13003,26.9,40.5
13005,23.9,36.8
13007,28.7,41.9
13009,26.0,35.5
13011,15.8,24.4
13013,15.6,21.3
13015,13.6,21.5
13017,32.5,46.9
13019,25.5,36.9
13021,26.7,41.6
13023,19.3,31.7
13025,21.6,34.3
13027,25.4,38.9
13029,13.1,16.2
13031,29.9,31.3
13033,25.1,37.9
13035,19.0,26.9
13037,37.5,42.4
13039,13.6,20.4
13043,28.1,43.3
13045,20.4,26.4
13047,13.1,19.6
13049,32.5,37.7
13051,17.8,25.3
13053,21.0,24.5
13055,20.4,28.8
13057,9.4,12.3
13059,38.1,41.6
13061,34.3,52.0
13063,23.3,35.4
13065,28.2,39.6
13067,11.4,16.4
13069,22.6,34.0
13071,24.1,35.5
13073,9.3,11.3
13075,24.1,35.7
13077,10.9,16.4
13079,20.6,28.9
13081,32.3,47.4
13083,16.2,21.8
13085,12.1,18.0
13087,27.3,39.9
13089,17.8,27.7
13091,24.8,38.1
13093,33.8,45.4
13095,29.4,42.1
13097,14.1,21.6
13099,26.5,41.6
13101,25.9,39.3
13103,11.4,15.3
13105,23.7,35.3
13107,27.0,40.2
13109,27.4,41.8
13111,17.4,29.8
13113,7.0,10.0
13115,19.6,28.7
13117,6.3,6.9
13119,21.9,31.3
13121,16.0,23.8
13123,16.9,30.6
13125,17.8,24.4
13127,18.2,30.0
13129,18.1,26.4
13131,29.3,41.1
13133,21.2,37.9
13135,12.6,17.9
13137,16.6,23.5
13139,16.9,24.3
13141,34.7,43.7
13143,19.2,27.0
13145,9.9,13.6
13147,18.6,28.7
13149,19.1,30.7
13151,9.9,15.8
13153,15.2,22.6
13155,24.7,37.1
13157,13.0,17.8
13159,17.4,28.9
13161,21.7,34.1
13163,27.7,39.7
13165,35.9,47.3
13167,30.2,37.1
13169,14.2,20.7
13171,21.0,29.3
13173,21.8,35.9
13175,25.5,36.0
13177,10.7,16.1
13179,20.3,27.3
13181,21.4,31.9
13183,19.1,27.7
13185,26.5,32.4
13187,16.5,22.4
13189,27.4,40.5
13191,24.0,39.3
13193,33.5,43.6
13195,15.1,23.0
13197,25.5,40.1
13199,22.1,33.7
13201,25.1,37.8
13205,28.0,38.1
13207,14.2,19.5
13209,24.3,32.2
13211,14.3,22.8
13213,17.8,26.7
13215,22.2,31.1
13217,14.9,23.3
13219,6.8,8.6
13221,16.9,25.2
13223,8.8,12.7
13225,22.0,33.4
13227,12.6,22.2
13229,22.1,31.1
13231,11.7,16.9
13233,20.8,32.3
13235,24.4,34.5
13237,18.1,33.1
13239,28.9,47.9
13241,16.1,28.1
13243,26.9,44.1
13245,24.3,37.7
13247,15.9,26.0
13249,19.5,29.0
13251,27.0,40.0
13253,25.8,42.7
13255,22.2,35.5
13257,21.2,31.0
13259,42.0,48.4
13261,30.8,48.1
13263,25.6,41.8
13265,33.5,54.4
13267,27.5,36.1
13269,27.3,41.1
13271,34.7,42.2
13273,36.5,55.7
13275,21.7,32.4
13277,27.1,39.8
13279,25.1,39.0
13281,16.7,26.6
13283,28.7,41.6
13285,19.3,28.4
13287,28.4,44.8
13289,26.3,35.1
13291,14.3,26.7
13293,22.7,33.7
13295,18.8,26.5
13297,12.7,19.3
13299,28.4,45.6
13301,27.7,43.9
13303,26.3,36.5
13305,20.8,32.8
13307,23.6,36.1
13309,39.3,39.2
13311,15.2,24.9
13313,15.3,22.1
13315,30.4,40.4
13317,22.9,34.7
13319,20.9,34.2
13321,21.7,34.3
15001,18.3,28.5
15003,9.2,11.5
15005,,
15007,11.2,15.9
15009,10.7,15.3
16001,11.7,12.2
16003,15.8,26.5
16005,22.3,22.2
16007,13.7,19.7
16009,18.0,25.5
16011,14.0,18.2
16013,8.9,12.0
16015,14.4,23.0
16017,15.8,23.6
16019,13.2,16.7
16021,15.8,24.3
16023,15.9,20.2
16025,10.7,15.4
16027,15.9,19.1
16029,10.8,14.0
16031,16.7,20.5
16033,15.3,16.5
16035,15.3,24.0
