,count,mean,std,min,25%,50%,75%,max
PCT_poverty_rate_2015,3139.0,16.261,6.442,3.4,11.5,15.2,19.7,47.4
PCT_poverty_rate_2015_children,3139.0,23.239,9.364,3.3,16.25,22.3,29.1,61.6
