,county_fips,ABS_facilities_2009,ABS_facilities_2014,PCT_facilities_change,ABS_facilities_per_thousand_pop_2009,ABS_facilities_per_thousand_pop_2014,PCT_facilities_per_thousand_pop_change
913,20051,4,3,-25.0,0.141078545,0.103401923,-26.706131734
914,20053,0,0,0.0,0.0,0.0,0.0
915,20055,6,1,-83.333333333,0.165289256,0.0268933,-83.729561102
916,20057,4,3,-25.0,0.120634538,0.086219284,-28.528524213
917,20059,1,1,0.0,0.0386548,0.0390457,1.011284214
918,20061,2,1,-50.0,0.063417573,0.0272383,-57.049274099
919,20063,0,1,,0.0,0.366703337,
920,20065,0,0,0.0,0.0,0.0,0.0
921,20067,0,0,0.0,0.0,0.0,0.0
922,20069,0,0,0.0,0.0,0.0,0.0
923,20071,0,0,0.0,0.0,0.0,0.0
924,20073,0,0,0.0,0.0,0.0,0.0
925,20075,0,0,0.0,0.0,0.0,0.0
926,20077,0,0,0.0,0.0,0.0,0.0
927,20079,2,1,-50.0,0.0578921,0.0287191,-50.392016083
928,20081,0,0,0.0,0.0,0.0,0.0
929,20083,0,0,0.0,0.0,0.0,0.0
930,20085,0,1,,0.0,0.073860699,
931,20087,0,0,0.0,0.0,0.0,0.0
932,20089,0,0,0.0,0.0,0.0,0.0
933,20091,99,94,-5.050505051,0.183538625,0.163685501,-10.816864173
934,20093,0,0,0.0,0.0,0.0,0.0
935,20095,3,0,-100.0,0.380469245,0.0,-100.0
936,20097,0,0,0.0,0.0,0.0,0.0
937,20099,1,0,-100.0,0.045958,0.0,-100.0
938,20101,0,0,0.0,0.0,0.0,0.0
939,20103,4,5,25.0,0.0530075,0.063454192,19.707920352
940,20105,1,0,-100.0,0.307787011,0.0,-100.0
941,20107,0,0,0.0,0.0,0.0,0.0
942,20109,2,1,-50.0,0.732869183,0.357909807,-51.163206872
943,20111,4,2,-50.0,0.118423779,0.0602192,-49.14940383
944,20113,2,4,100.0,0.068441585,0.136794227,99.870045484
945,20115,0,0,0.0,0.0,0.0,0.0
946,20117,1,1,0.0,0.098804466,0.099940036,1.149310414
947,20119,0,0,0.0,0.0,0.0,0.0
948,20121,4,3,-25.0,0.12328556,0.091402108,-25.861464871
949,20123,1,2,100.0,0.15576324,0.318268619,104.328453215
950,20125,4,5,25.0,0.112394279,0.146778218,30.59225011
