State,fast_food_count_2009,fast_food_count_2014,PCT_change_fast_food_count,CPT_fast_food_2009,CPT_fast_food_2014,PCT_change_fast_food,CPT_fast_food_2012
AK,396,429,17.619653125000028,10.630458711000001,9.190640310000001,-68.19360729700003,9.7665676704
AL,3322,3561,96.22289078700001,38.254781593,39.071533605999996,107.75894378099997,38.7448328008
AR,1881,1939,429.9490141949999,39.410640232000006,39.54770809400002,540.13472665,39.492880949200014
AZ,4071,4211,-3.1245779900000006,8.143672428,7.963666179999999,-41.842943202,8.035668679199999
CA,25842,28292,166.514865999,37.3286136,37.524069948,47.199959830999994,37.4458874088
CO,3577,3877,138.71091467299996,44.97559357699999,43.617239114,24.603921582999938,44.1605808992
CT,2021,2429,162.55202728300003,4.143977389,4.942180768,162.95298792100002,4.6228994164
DC,732,839,14.617486339,1.236010455,1.273347873,3.0208011,1.2584129058
DE,594,615,11.371127224999999,1.9305207910000002,1.881616453,-6.682095617,1.9011781882
FL,11055,12156,537.046302394,33.461105403000005,34.304432786999996,281.207298977,33.9671018334
GA,6901,7702,756.2863774559997,88.11815111799999,90.83735265799997,609.8768711480001,89.74967204199997
HI,1274,1249,-22.228674476000002,3.7485815870000003,3.3339208670000002,-42.869743249,3.499785155
IA,1883,1918,231.60921811799986,50.804312130999996,48.74673627499999,275.31157857699964,49.56976661739999
ID,997,1041,172.882130945,26.521337647,25.987993842999995,147.967957758,26.201331364599998
IL,9003,9643,16.916114291999975,53.765252814000014,54.22306405,165.23916597299993,54.03993955560001
IN,4294,4753,812.6103294349999,52.55029374399998,56.224925243000015,781.2545651960004,54.7550726434
KS,1874,2001,551.8366656810001,51.05592911200004,54.706257846999996,595.1204651159999,53.246126353000015
KY,2896,3133,1354.6792080910006,64.53794811600004,67.93152079999997,1317.8941967890016,66.5740917264
LA,2927,3268,291.60205602400003,33.20986396799999,35.009328131,206.20804674700003,34.2895424658
MA,4534,5080,159.726569362,10.917334675,11.792504282000001,116.935835566,11.4424364392
MD,4525,4896,229.80374237399997,17.506260612000005,18.44868647,172.45459188099997,18.071716126800002
ME,884,931,79.255684707,9.645931522000001,10.131838232000002,94.32349970899999,9.937475548000002
MI,6283,6656,700.4442278739999,45.30596323499999,49.026120949,790.9468711880003,47.5380578634
MN,3258,3419,280.63952001,45.015891172999986,44.06928123299998,264.5588929939999,44.44792520899998
MO,3964,4041,422.866609763,54.144435159000025,53.83060933199998,441.398133272,53.9561396628
MS,1895,2112,1411.672508005,42.674083789,46.65607074399997,1529.4438741170002,45.063275961999985
MT,720,703,-893.886765214,33.70632384500001,28.025278377000003,-1022.5618414920004,30.297696564200006
NC,6630,7355,1261.7933395520004,60.313928942000025,65.48100380900001,1097.0528126709999,63.414173862200016
ND,382,456,162.29994155300002,25.104344465999997,23.246932607000005,-160.401146096,23.989897350600003
NE,1228,1346,169.64076415399995,40.913088275000014,41.28953820300002,193.49560061100001,41.13895823180002
NH,1039,1017,21.012100106999995,7.370363361999999,7.472783504,23.714042293,7.431815447199999
NJ,6375,6655,41.704078222999996,15.831517269,15.929973519,17.488132078,15.890591019
NM,1324,1449,16.446150542999995,19.450106768000005,19.782839146999997,38.60574304900001,19.6497461954
NV,2110,2250,261.96254873099997,8.198572439,9.26061927,228.41709939500004,8.835800537599999
NY,14329,16721,818.6869960509998,38.917440094999996,43.859691839000014,834.4714342739999,41.882791141400006
OH,8638,9094,425.57793830900005,58.71911197299997,61.163538992999996,461.79855055800004,60.185768184999986
OK,2494,2764,330.96158473599996,37.26805101899999,37.651967361,213.15762722099996,37.4984008242
OR,2757,2767,-15.426853121,22.72629683600001,22.70836871,-68.23085418699999,22.715539960400005
PA,8207,8910,450.53915038700006,36.18180812999999,38.58680172200002,480.26068551499986,37.62480428520001
RI,794,821,9.792855299,3.797565774,3.910355663,13.266221539,3.8652397074
SC,3303,3411,125.08632387599995,26.820076937,26.58922658299999,58.67377086899998,26.681566724599996
SD,498,521,-312.1939101949999,29.976269251999998,30.050015648000006,-421.876182457,30.020517089600002
TN,4405,4645,688.8836156860002,50.948862943,52.666243249,560.5582615210001,51.979291126599996
TX,16652,18804,2228.241712257,150.90637695999993,158.82948825799997,1530.9234465949999,155.66024373879995
UT,1921,2138,323.592200671,23.082214385999997,25.630342087,164.911244071,24.6110910066
VA,5908,6248,697.126701331,95.35635263100002,95.34005416000001,471.65931669599985,95.34657354840002
VT,360,397,138.722748883,6.956537847,7.627194766,143.08847534600002,7.3589319984
WA,4767,4828,425.0333675340001,22.43136657300001,22.472085656,298.036589521,22.455798022800003
WI,3326,3534,802.8542221269998,34.914460076,37.910923635,800.8570829339997,36.7123382114
WV,1239,1261,50.04596093399999,28.967896833999994,28.92144934199999,105.17358347399995,28.94002833879999
WY,403,391,37.59224603199999,16.651999182,15.860278363000003,-24.79849517199998,16.1769666906
