,county_fips,PCT_reduced_lunch_2009,PCT_reduced_lunch_2014,PCT_reduced_lunch_average,PCT_reduced_lunch_change,PCT_free_lunch_2009,PCT_free_lunch_2014,PCT_free_lunch_average,PCT_free_lunch_change
0,1001,8.217546645494243,,,,32.00674870980548,,,
1,1003,8.160407840884613,5.082363707674205,6.621,-3.078,33.21605514468299,36.756438750163426,34.986,3.54
2,1005,3.713188220230474,3.436334576451785,3.575,-0.277,68.24583866837388,63.93180607352158,66.089,-4.314
3,1007,11.197771587743732,9.115281501340483,10.157,-2.082,50.27855153203342,54.33422698838248,52.306,4.056
4,1009,9.08265213442325,8.090310442144872,8.586,-0.992,39.6810979917247,44.98797951290896,42.335,5.307
5,1011,0.061087354917532075,0.0,0.031,-0.061,92.11973121563837,63.85780118499012,77.989,-28.262
6,1013,8.604376108811355,5.3274835474772795,6.966,-3.277,69.69248965109402,65.84142901911626,67.767,-3.851
7,1015,8.538490545709207,7.160811363769218,7.85,-1.378,48.381188385498035,53.5687145612907,50.975,5.188
8,1017,7.631738340399758,7.306131168553728,7.469,-0.326,64.6073087017969,65.34928434095278,64.978,0.742
9,1019,11.327649208282581,10.773412404250061,11.051,-0.554,47.649208282582215,51.14899925871016,49.399,3.5
10,1021,9.426915647134578,7.152230971128609,8.29,-2.275,48.71860914359304,50.01312335958005,49.366,1.295
11,1023,8.008658008658008,3.8730158730158735,5.941,-4.136,67.91125541125541,64.5079365079365,66.21,-3.403
12,1025,8.055443953394938,3.219034289713086,5.637,-4.836,59.07995178786661,52.06438068579426,55.572,-7.016
13,1027,12.363808621506395,10.438207779419004,11.401,-1.926,51.918522027475134,54.35745937961596,53.138,2.439
14,1029,14.522821576763487,,,,43.870237646171255,,,
15,1031,8.414872798434441,6.233846790034116,7.324,-2.181,36.5296803652968,40.45280678176367,38.491,3.923
16,1033,8.366153478935434,7.283082888996607,7.825,-1.083,43.17937701396348,44.728550654386815,43.954,1.549
17,1035,4.370939161252215,3.871391076115486,4.121,-0.5,80.92144122858831,78.54330708661418,79.732,-2.378
18,1037,11.463046757164404,,,,62.51885369532428,,,
19,1039,8.321167883211679,7.653963659752372,7.988,-0.667,49.051094890510946,51.59993568097765,50.326,2.549
20,1041,10.894780447390223,,,,48.09444904722452,,,
21,1043,10.99164603960396,1.676413255360624,6.334,-9.315,39.59622524752475,51.29824561403509,45.447,11.702
22,1045,8.23636088862022,6.241157050778179,7.239,-1.995,50.85386126643494,55.950322276371644,53.402,5.096
23,1047,5.4309182297413265,0.0,2.715,-5.431,77.47946548976338,69.64108384167967,73.56,-7.838
24,1049,8.2701062215478,5.834777585210861,7.052,-2.435,55.84218512898331,59.082281092679715,57.462,3.24
25,1051,9.477502508296674,7.148832610844931,8.313,-2.329,40.00926140310257,44.93877861434329,42.474,4.93
26,1053,9.32994062765055,,,,59.98303647158609,,,
27,1055,9.695678636640292,9.153518657650888,9.425,-0.542,47.97930614729154,51.84072126220887,49.91,3.861
28,1057,8.697347893915756,9.012345679012345,8.855,0.315,45.94383775351014,49.053497942386834,47.499,3.11
29,1059,10.112359550561797,10.867733782645324,10.49,0.755,55.22904062229905,58.43302443133951,56.831,3.204
30,1061,7.356264122520713,6.441136671177267,6.899,-0.915,49.73637961335677,55.182679296346414,52.46,5.446
31,1063,2.7318475916606757,,,,65.42056074766354,,,
32,1065,7.451514120449132,7.443365695792881,7.447,-0.008,67.40387887036407,66.09133405249909,66.748,-1.313
33,1067,9.042927515833918,5.172413793103448,7.108,-3.871,53.97607318789584,56.81818181818182,55.397,2.842
34,1069,7.438493080471553,6.831506500127453,7.135,-0.607,52.16555612506407,55.84374203415753,54.005,3.678
35,1071,11.95993944334459,8.603598090808958,10.282,-3.356,46.8848258996157,51.29115163382695,49.088,4.406
36,1073,6.3236410113032715,3.81859410430839,5.071,-2.505,45.60550385429564,43.094986142605194,44.35,-2.511
37,1075,9.53191489361702,11.134542387178406,10.333,1.603,47.57446808510638,47.53268663011387,47.554,-0.042
38,1077,8.298001211387037,5.71868978805395,7.008,-2.579,39.786493034524526,43.96146435452794,41.874,4.175
39,1079,11.265991980141301,9.920159680638722,10.593,-1.346,45.254916937177775,52.55489021956088,48.905,7.3
40,1081,6.921217502836565,5.6827892667920015,6.302,-1.238,38.2960880074984,41.69800034182191,39.997,3.402
41,1083,7.017543859649122,5.883199079401611,6.45,-1.134,37.23852901484481,40.0963751438435,38.667,2.858
42,1085,3.6726128016789086,0.0,1.836,-3.673,91.34312696747115,68.93939393939394,80.141,-22.404
43,1087,0.0,0.0,0.0,0.0,97.7663859392164,66.91484411354118,82.341,-30.852
44,1089,5.766793409378961,3.9369772417817543,4.852,-1.83,29.26604447516995,30.033067496595994,29.65,0.767
45,1091,6.724754244861483,6.639427987742594,6.682,-0.085,61.193029490616624,59.01430030643514,60.104,-2.179
46,1093,9.107178365480214,7.812830827863645,8.46,-1.294,44.223503678663754,45.352530171501165,44.788,1.129
47,1095,8.178078877328817,5.131004366812228,6.655,-3.047,46.225502056617465,49.25879108250977,47.742,3.033
48,1097,6.6121409280628525,0.6030214548686048,3.608,-6.009,60.064755708323105,47.90053319791799,53.983,-12.164
49,1099,8.47953216374269,5.284663579406156,6.882,-3.195,58.62573099415205,61.99945518932171,60.313,3.374
50,1101,7.146455106409771,0.0,3.573,-7.146,63.376778743231334,53.07415815361332,58.225,-10.303
51,1103,7.13493344090359,5.188582028029678,6.162,-1.946,41.03469140782573,42.26092333058533,41.648,1.226
52,1105,1.9230769230769231,0.0,0.962,-1.923,92.93139293139293,70.18292682926828,81.557,-22.748
53,1107,7.174280879864636,5.311077389984825,6.243,-1.863,66.46362098138748,58.877086494688925,62.67,-7.587
54,1109,7.819481680071492,,,,61.907953529937444,,,
55,1111,7.742270719667446,6.590486314111081,7.166,-1.152,54.429722005715774,55.38134467180441,54.906,0.952
56,1113,7.867624102403996,7.297354052918942,7.582,-0.57,61.80663960870017,58.66232675346493,60.234,-3.144
57,1115,8.654458598726114,7.498842771177287,8.077,-1.156,37.92197452229299,44.368153062798946,41.145,6.446
58,1117,5.2507374631268435,5.066752925954243,5.159,-0.184,21.83511877037727,25.56901723225313,23.702,3.734
59,1119,4.29419826404751,0.0,2.147,-4.294,88.99040657834628,66.230677764566,77.611,-22.76
60,1121,7.948493760432399,,,,60.50393450441142,,,
61,1123,7.669385194479298,6.905199799364654,7.287,-0.764,51.55269761606023,55.74318675806721,53.648,4.19
62,1125,7.871761843423501,5.0665157090291535,6.469,-2.805,46.089165593244594,45.70478347013869,45.897,-0.384
63,1127,10.02979145978153,6.553398058252427,8.292,-3.476,46.546898979868196,52.06310679611651,49.305,5.516
64,1129,9.738219895287958,7.65661252900232,8.697,-2.082,42.79232111692844,46.30427577063308,44.548,3.512
65,1131,0.0,0.0,0.0,0.0,96.47001934235976,69.5054945054945,82.988,-26.965
66,1133,12.757294729699161,12.298195631528964,12.528,-0.459,46.93508256050667,47.10351377018044,47.019,0.168
67,2013,5.343511450381679,0.0,2.672,-5.344,37.404580152671755,64.22764227642277,50.816,26.823
68,2016,0.9225092250922509,4.356060606060606,2.639,3.434,11.439114391143912,10.037878787878787,10.738,-1.401
69,2020,7.878568847126852,4.934115411623776,6.406,-2.944,27.928362044733568,39.532818373332226,33.731,11.604
70,2050,5.848787446504993,0.0,2.924,-5.849,67.2916242103118,89.12109375,78.206,21.829
71,2060,2.5316455696202533,4.137931034482759,3.335,1.606,39.24050632911392,37.93103448275862,38.586,-1.309
72,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2070,11.26885536823425,8.683473389355742,9.976,-2.585,70.9849157054126,69.187675070028,70.086,-1.797
74,2090,5.9704575973556455,5.547973965987823,5.759,-0.422,13.753744447887614,20.470291832878438,17.112,6.717
75,2100,18.91025641025641,5.166051660516605,12.038,-13.744,40.06410256410257,38.00738007380074,39.036,-2.057
76,2105,2.8469750889679712,6.291390728476822,4.569,3.444,42.704626334519574,44.03973509933775,43.372,1.335
77,2110,4.146100691016782,4.45369406867846,4.3,0.308,15.73543928923988,25.99375650364204,20.865,10.258
78,2122,8.88129803586678,6.473065839060076,7.677,-2.408,24.316823228010247,24.362669031256928,24.34,0.046
79,2130,4.829419583517945,7.665805340223946,6.248,2.836,26.938413823659722,33.807062876830315,30.373,6.869
80,2150,10.327552986512524,7.549454985870003,8.939,-2.778,30.86705202312139,35.97093257973355,33.419,5.104
81,2164,6.976744186046512,5.263157894736842,6.12,-1.714,57.36434108527132,68.42105263157895,62.893,11.057
82,2170,6.78592725104353,4.388068023417898,5.587,-2.398,24.53190220632081,29.947030945079455,27.239,5.415
83,2180,5.260888313928418,3.461841070023604,4.361,-1.799,78.48210435532556,81.03855232100709,79.76,2.556
84,2185,8.755506607929515,6.253101736972705,7.504,-2.502,35.352422907488986,45.16129032258064,40.257,9.809
85,2188,2.066532258064516,0.0,1.033,-2.067,69.05241935483872,99.29378531073446,84.173,30.241
86,2195,7.920792079207921,,,,46.864686468646866,,,
87,2198,6.2596599690881,3.9644565960355433,5.112,-2.295,47.14064914992272,54.750512645249486,50.946,7.61
88,2220,6.161673261729791,6.370875995449373,6.266,0.209,23.798756359525157,39.70420932878271,31.751,15.905
89,2230,7.6190476190476195,0.0,3.81,-7.619,3.8095238095238098,0.0,1.905,-3.81
90,2240,9.67741935483871,6.540447504302927,8.109,-3.137,32.18637992831541,39.75903614457831,35.973,7.573
91,2261,7.4892572130141195,6.60377358490566,7.047,-0.885,25.844076120319215,31.266846361185983,28.555,5.423
92,2270,8.569051580698835,0.0,4.285,-8.569,62.60399334442596,88.99688958009331,75.8,26.393
93,2275,13.564668769716087,12.63537906137184,13.1,-0.929,44.479495268138805,40.43321299638989,42.456,-4.046
94,2282,28.82882882882883,9.090909090909092,18.96,-19.738,45.04504504504504,74.74747474747475,59.896,29.702
95,2290,4.592064199732501,2.553763440860215,3.573,-2.038,24.476148016049933,25.3584229390681,24.917,0.882
96,4001,11.529627928341753,2.9352596927578642,7.232,-8.594,48.07839534527638,8.129114850036578,28.104,-39.949
97,4003,8.636537725009575,7.775107639931912,8.206,-0.861,44.87265415549598,48.958646240112145,46.916,4.086
98,4005,5.311461574977583,,,,24.595179070626088,,,
99,4007,23.817053886388518,,,,39.654543242914485,,,
100,4009,,7.413817972017886,,,,27.953266983989618,,
101,4011,7.395898073337477,12.438891906572515,9.917,5.043,33.18831572405221,28.408473655621947,30.798,-4.78
102,4012,12.450592885375494,5.573770491803279,9.012,-6.877,65.17786561264822,42.950819672131146,54.064,-22.227
103,4013,8.779211892954056,5.01552513438274,6.897,-3.764,35.62739777299523,32.16049237448036,33.894,-3.467
104,4015,7.416003957231459,6.064601186552406,6.74,-1.351,49.92580191012518,37.55767963085036,43.742,-12.368
105,4017,12.695916814608166,5.353330778915102,9.025,-7.343,47.6946487446107,28.025617165690512,37.86,-19.669
106,4019,5.527014818710139,,,,38.26773458463115,,,
107,4021,11.09245599803807,,,,43.74162878001849,,,
108,4023,10.98359100825192,0.20695772149403766,5.595,-10.777,64.01403775016598,1.6753720311422096,32.845,-62.339
109,4025,8.904491251532374,,,,37.289646717931575,,,
110,4027,7.498954849498328,4.834806397306397,6.167,-2.664,67.14569397993311,17.763573232323232,42.455,-49.382
111,5001,8.223784775298073,9.84594775619558,9.035,1.622,53.80617548150413,53.851306095110516,53.829,0.045
112,5003,3.2574087680626986,8.93939393939394,6.098,5.682,75.82659808963997,54.090909090909086,64.959,-21.736
113,5005,10.822260735605623,10.993044822256568,10.908,0.171,46.370113614481035,47.97140649149923,47.171,1.601
114,5007,9.600190890291108,9.334004899379565,9.467,-0.266,35.91653852272125,37.278783854941736,36.598,1.362
115,5009,12.195121951219512,9.733803720333547,10.964,-2.461,40.91266719118804,48.71712636305324,44.815,7.804
116,5011,8.358208955223882,8.964525407478426,8.661,0.606,64.02985074626866,64.71716203259828,64.374,0.687
117,5013,15.311004784688995,16.064981949458485,15.688,0.754,46.25199362041467,58.30324909747292,52.278,12.051
