fips,county,state,CNT_population_2013,SQM_total_area_2000,PSM_population_density_2013,metropolitain_area_2013
20169,Saline,KS,55726,721.28,77.2598713398403,0
20171,Scott,KS,4922,717.64,6.858592051725099,0
20173,Sedgwick,KS,506141,1009.41,501.4226132096968,0
20175,Seward,KS,23355,640.51,36.46313094253017,1
20177,Shawnee,KS,178661,556.32,321.1479004889273,0
20179,Sheridan,KS,2534,896.61,2.8262009123253136,1
20181,Sherman,KS,6077,1056.01,5.754680353405744,0
20183,Smith,KS,3703,896.53,4.130369312794887,0
20185,Stafford,KS,4340,794.72,5.461042883027985,0
20187,Stanton,KS,2172,680.06,3.1938358380142926,0
20189,Stevens,KS,5813,727.71,7.988072171606821,0
20191,Sumner,KS,23609,1184.78,19.926906261078006,0
20193,Thomas,KS,7951,1074.9,7.396967159735789,1
20195,Trego,KS,2964,899.02,3.2969233165001888,0
20197,Wabaunsee,KS,7027,799.8,8.785946486621656,0
20199,Wallace,KS,1566,914.05,1.7132541983480116,1
20201,Washington,KS,5627,898.84,6.260291041787193,0
20203,Wichita,KS,2185,718.54,3.040888468282908,0
20205,Wilson,KS,9090,574.97,15.809520496721568,0
20207,Woodson,KS,3205,505.45,6.340884360470867,0
20209,Wyandotte,KS,160744,155.69,1032.4619436058836,0
21001,Adair,KY,19095,412.23,46.32122844043374,1
21003,Allen,KY,20278,352.04,57.601408930803316,0
21005,Anderson,KY,21731,204.28,106.37850009790483,1
21007,Ballard,KY,8277,273.6,30.252192982456137,0
21009,Barren,KY,42996,499.93,86.00404056567919,0
21011,Bath,KY,12004,283.94,42.27653729661196,0
21013,Bell,KY,27971,361.35,77.40694617406945,0
21015,Boone,KY,123998,256.96,482.557596513076,0
21017,Bourbon,KY,19946,291.66,68.38784886511691,1
21019,Boyd,KY,48907,161.82,302.2308738104066,1
21021,Boyle,KY,29621,182.99,161.8722334553801,1
21023,Bracken,KY,8436,208.89,40.384891569725696,0
21025,Breathitt,KY,13584,495.29,27.42635627612106,1
21027,Breckinridge,KY,20053,585.53,34.247604734172455,0
21029,Bullitt,KY,76863,300.2,256.03930712858096,0
21031,Butler,KY,12796,431.52,29.653318502039305,1
21033,Caldwell,KY,12816,348.18,36.80854730311908,1
21035,Calloway,KY,38293,410.79,93.21794590910194,0
21037,Campbell,KY,90873,159.43,569.9868280750172,0
21039,Carlisle,KY,4980,199.02,25.022610792885136,1
21041,Carroll,KY,10854,137.27,79.07044510818095,0
21043,Carter,KY,27398,412.15,66.47579764648793,0
21045,Casey,KY,16092,445.73,36.10257330671034,0
21047,Christian,KY,74246,724.01,102.54830734382122,0
21049,Clark,KY,35595,255.16,139.5007054397241,1
21051,Clay,KY,21259,471.08,45.12821601426509,1
21053,Clinton,KY,10151,205.54,49.38698063637249,0
21055,Crittenden,KY,9208,370.95,24.82275239250573,0
21057,Cumberland,KY,6803,310.85,21.885153611066432,0
21059,Daviess,KY,98311,476.27,206.41862808910912,0
21061,Edmonson,KY,12092,308.01,39.25846563423266,1
21063,Elliott,KY,7669,235.2,32.60629251700681,1
21065,Estill,KY,14456,255.7,56.5350019554165,0
21067,Fayette,KY,308501,285.52,1080.4882319977582,0
21069,Fleming,KY,14551,351.47,41.400404017412576,1
21071,Floyd,KY,38558,395.46,97.50164365548979,0
21073,Franklin,KY,49600,212.11,233.84093159209843,0
21075,Fulton,KY,6377,230.55,27.65994361309911,0
21077,Gallatin,KY,8489,104.67,81.10251265883251,0
21079,Garrard,KY,16927,233.88,72.374722079699,1
21081,Grant,KY,24541,260.79,94.10253460638829,0
21083,Graves,KY,37352,556.46,67.12432160442799,1
21085,Grayson,KY,26024,510.85,50.94254673583244,0
21087,Green,KY,11173,288.78,38.69035251748736,0
21089,Greenup,KY,36423,354.51,102.74181264280273,0
21091,Hancock,KY,8672,198.92,43.59541524230846,1
21093,Hardin,KY,108282,629.86,171.9143936747849,1
21095,Harlan,KY,28562,467.97,61.03382695471932,1
21097,Harrison,KY,18548,309.88,59.85542790757713,0
21099,Hart,KY,18474,417.91,44.20569022038239,0
21101,Henderson,KY,46339,467.24,99.17601232771166,0
21103,Henry,KY,15413,291.11,52.94562192985469,1
21105,Hickman,KY,4726,252.94,18.68427295010675,1
21107,Hopkins,KY,46560,554.23,84.0084441477365,0
21109,Jackson,KY,13416,346.57,38.710794356118534,0
21111,Jefferson,KY,757715,398.58,1901.0361784334386,0
21113,Jessamine,KY,50222,174.45,287.88764689022645,1
21115,Johnson,KY,23486,263.94,88.98234447222853,1
21117,Kenton,KY,162918,164.38,991.1059739627693,0
21119,Knott,KY,16097,353.01,45.5992748080791,1
21121,Knox,KY,31867,387.71,82.19287611874856,0
21123,Larue,KY,14081,263.72,53.39375094797512,0
21125,Laurel,KY,59747,443.74,134.64416099517734,1
21127,Lawrence,KY,15869,420.12,37.77254117871085,0
21129,Lee,KY,6838,211.22,32.373828235962506,0
21131,Leslie,KY,11036,404.36,27.292511623305966,0
21133,Letcher,KY,23588,339.12,69.55649917433357,0
21135,Lewis,KY,13698,495.7,27.63364938470849,0
21137,Lincoln,KY,24463,336.47,72.70484738609682,0
21139,Livingston,KY,9362,342.2,27.358270017533606,0
21141,Logan,KY,26958,557.1,48.38987614431879,0
21143,Lyon,KY,8448,256.42,32.94594805397395,0
21145,McCracken,KY,65368,268.08,243.83766039988063,0
21147,McCreary,KY,17927,430.64,41.62873862158648,0
21149,McLean,KY,9499,256.17,37.080844751532176,0
21151,Madison,KY,86062,443.11,194.22265351718534,1
21153,Magoffin,KY,12935,309.44,41.80131851085832,0
21155,Marion,KY,19940,346.86,57.487170616387004,0
21157,Marshall,KY,31228,340.32,91.76069581570287,0
21159,Martin,KY,12695,230.81,55.00194965556086,0
21161,Mason,KY,17298,246.6,70.14598540145985,0
21163,Meade,KY,29285,324.22,90.32447103818394,0
21165,Menifee,KY,6335,206.03,30.747949327767802,1
21167,Mercer,KY,21328,253.11,84.26375884003001,0
21169,Metcalfe,KY,9970,290.96,34.265878471267534,0
21171,Monroe,KY,10701,332.11,32.22125199482099,0
21173,Montgomery,KY,27266,198.8,137.15291750503016,0
21175,Morgan,KY,13390,383.73,34.89432674015584,0
21177,Muhlenberg,KY,31273,479.43,65.22954341614,0
21179,Nelson,KY,44501,424.07,104.93786403188152,0
21181,Nicholas,KY,7034,196.85,35.73279146558293,0
21183,Ohio,KY,24047,596.73,40.29795720007373,0
21185,Oldham,KY,63059,196.54,320.8456293884197,0
21187,Owen,KY,10621,354.16,29.98927038626609,1
21189,Owsley,KY,4603,198.09,23.236912514513605,0
21191,Pendleton,KY,14539,281.87,51.580515840635755,0
21193,Perry,KY,28111,342.64,82.04237683866451,1
21195,Pike,KY,63917,788.84,81.026570660717,0
21197,Powell,KY,12490,180.2,69.31187569367371,0
21199,Pulaski,KY,63734,677.05,94.13484971567831,0
21201,Robertson,KY,2221,100.11,22.18559584457097,0
21203,Rockcastle,KY,16751,318.06,52.66616361692761,0
21205,Rowan,KY,24253,286.25,84.72663755458515,0
21207,Russell,KY,17725,282.82,62.67237111943992,0
21209,Scott,KY,50067,285.3,175.48895899053628,0
21211,Shelby,KY,44290,385.65,114.84506677038765,1
21213,Simpson,KY,17760,236.19,75.19369998729836,1
21215,Spencer,KY,17576,191.8,91.63712200208549,0
21217,Taylor,KY,25156,277.05,90.79949467605124,1
21219,Todd,KY,12486,376.97,33.12199909807146,0
21221,Trigg,KY,14308,481.13,29.73832436139921,0
21223,Trimble,KY,8808,156.23,56.378416437303976,1
21225,Union,KY,15111,363.43,41.57884599510222,1
21227,Warren,KY,118948,547.69,217.1812521681973,0
21229,Washington,KY,11920,301.52,39.5330326346511,1
21231,Wayne,KY,20676,484.2,42.70136307311029,0
21233,Webster,KY,13392,335.68,39.89513822688274,0
21235,Whitley,KY,35751,445.15,80.31225429630463,0
21237,Wolfe,KY,7275,222.86,32.64381225881719,0
21239,Woodford,KY,25294,191.98,131.7533076362121,0
22001,Acadia,LA,62169,657.62,94.53635838326085,1
22003,Allen,LA,25597,765.67,33.43085141118237,1
22005,Ascension,LA,114557,302.88,378.22569994717384,0
22007,Assumption,LA,23207,364.55,63.65930599369085,1
22009,Avoyelles,LA,41308,865.67,47.71795256853074,0
22011,Beauregard,LA,36241,1165.99,31.081741695897907,0
22013,Bienville,LA,13945,821.77,16.969468342723633,0
22015,Bossier,LA,123894,866.93,142.91119236847263,0
22017,Caddo,LA,255224,936.9,272.41327783114525,1
22019,Calcasieu,LA,195491,1094.34,178.63826598680484,1
22021,Caldwell,LA,9932,540.72,18.36810179020565,1
22023,Cameron,LA,6688,1931.6,3.4624145785876994,0
22025,Catahoula,LA,10293,739.43,13.9201817616272,1
